"CAP","Player Name","International Status","Last played ","Role","Batting Style","Bowling Style","Bowling Type","Batting Experience","Batting Average","Bowling Experience","Bowling Average","Top Order"
"57","JJ BUMRAH","Playing","2020","Bowler","Right-handed","Right-arm Fast","Fast bowler","6","4","49","20.25",""
"58","HH PANDYA","Playing","2020","Batting Allrounder","Right-handed","Right-arm Fast-medium","Fast bowler","28","18.48","39","25.68",""
"59","P NEGI","Playing","2016","Bowling Allrounder","Left-handed","Left-arm Orthodox","Spinner","0","0","1","16",""
"60","YS CHAHAL","Playing","2020","Bowler","Right-handed","Right-arm Legbreak","Spinner","4","2.5","45","24.68",""
"61","R DHAWAN","Playing","2016","Bowling Allrounder","Right-handed","Right-arm Fast-medium","Fast bowler","1","0","1","42","1"
"62","MANDEEP SINGH","Playing","2016","Batsman","Right-handed","Right-arm Medium","Fast bowler","3","43.5","0","0",""
"63","KL RAHUL","Playing","2020","WK-Batsman","Right-handed","-","-","41","44.6","0","0","1"
"64","JD UNADKAT","Playing","2018","Bowler","Right-handed","Left-arm Fast-medium","Fast bowler","0","0","10","21.15",""
"65","DS KULKARNI","Playing","2016","Bowler","Right-handed","Right-arm Fast-medium","Fast bowler","1","0","2","18.33",""
"66","BB SRAN","Playing","2016","Bowler","Left-handed","Left-arm Fast-medium","Fast bowler","0","0","2","6.83",""
"67","PARVEZ RASOOL","Playing","2017","Bowling Allrounder","Right-handed","Right-arm Offbreak","Spinner","1","0","1","32",""
"68","RR PANT","Playing","2020","WK-Batsman","Left-handed","-","-","25","20.5","0","0",""
"69","KULDEEP YADAV","Playing","2020","Bowler","Left-handed","Left-arm Chinaman","Spinner","2","20","20","13.77",""
"70","SS IYER","Playing","2020","Batsman","Right-handed","Right-arm Legbreak","Spinner","22","26.81","0","0",""
"71","MOHAMMED SIRAJ","Playing","2018","Bowler","Right-handed","Right-arm Fast-medium","Fast bowler","0","0","3","49.33",""
"72","WASHINGTON SUNDAR","Playing","2020","Batting Allrounder","Left-handed","Right-arm Offbreak","Spinner","9","6.67","25","29.14",""
"73","SN THAKUR","Playing","2020","Bowler","Right-handed","Right-arm Fast-medium","Fast bowler","3","59","16","22.74",""
"74","V SHANKAR","Playing","2019","Batting Allrounder","Right-handed","Right-arm Medium","Fast bowler","4","25.25","6","38.2",""
"75","S KAUL","Playing","2019","Bowler","Right-handed","Right-arm Fast-medium","Fast bowler","0","0","3","21",""
"76","DL CHAHAR","Playing","2020","Bowler","Right-handed","Right-arm Medium","Fast bowler","4","0","13","20.11",""
"77","KK AHMED","Playing","2019","Bowler","Right-handed","Left-arm Fast-medium","Fast bowler","1","0","14","35.31",""
"78","KH PANDYA","Playing","2019","Batting Allrounder","Left-handed","Left-arm Orthodox","Spinner","9","24.2","18","38.43",""
"79","M MARKANDE","Playing","2019","Bowler","Right-handed","Right-arm Legbreak","Spinner","0","0","1","0",""
"80","NA SAINI","Playing","2020","Bowler","Right-handed","Right-arm Fast","Fast bowler","2","0","9","18.08",""
"81","RD CHAHAR","Playing","2019","Bowler","Right-handed","Right-arm Legbreak","Spinner","0","0","1","27",""
"82","S DUBE","Playing","2020","Bowling Allrounder","Left-handed","Right-arm Medium","Fast bowler","9","17.5","11","43.2",""
"83","T NATARAJAN","Playing","2020","Bowler","Left-handed","Left-arm Fast-medium","Fast bowler","0","0","3","13.83",""
